id,name,countryId
acer,Acer,TW
alfa-romeo,Alfa Romeo,IT
alta,Alta,GB
arrows,Arrows,GB
asiatech,Asiatech,FR
aston-martin,Aston Martin,GB
ats,ATS,IT
bmw,BMW,DE
borgward,Borgward,DE
bpm,BPM,IT
bristol,Bristol,GB
brm,BRM,GB
bugatti,Bugatti,FR
butterworth,Butterworth,GB
bwt-mercedes,BWT Mercedes,AT
castellotti,Castellotti,IT
climax,Climax,GB
cosworth,Cosworth,GB
cummins,Cummins,US
de-tomaso,De Tomaso,IT
emw,EMW,DE
era,ERA,GB
european,European,GB
ferrari,Ferrari,IT
fondmetal,Fondmetal,IT
ford,Ford,US
gordini,Gordini,FR
hart,Hart,GB
honda,Honda,JP
ilmor,Ilmor,GB
jaguar,Jaguar,GB
jap,JAP,GB
judd,Judd,GB
kuchen,Küchen,DE
lamborghini,Lamborghini,IT
lancia,Lancia,IT
lea-francis,Lea Francis,GB
life,Life,IT
maserati,Maserati,IT
matra,Matra,FR
mecachrome,Mecachrome,FR
megatron,Megatron,DE
mercedes,Mercedes,DE
milano,Milano,IT
motori-moderni,Motori Moderni,IT
mugen-honda,Mugen-Honda,JP
novi,Novi,US
offenhauser,Offenhauser,US
osca,OSCA,IT
osella,Osella,IT
petronas,Petronas,MY
peugeot,Peugeot,FR
plate,Platé,IT
playlife,Playlife,IT
porsche,Porsche,DE
pratt-whitney,Pratt & Whitney,US
red-bull-powertrains,Red Bull Powertrains,AT
renault,Renault,FR
repco,Repco,AU
sauber,Sauber,CH
scarab,Scarab,US
serenissima,Serenissima,IT
simca-gordini,Simca-Gordini,FR
subaru,Subaru,JP
supertec,Supertec,NL
tag-heuer,TAG Heuer,CH
tag,TAG,LU
talbot-lago,Talbot-Lago,FR
tecno,Tecno,IT
toro-rosso,Toro Rosso,IT
toyota,Toyota,JP
vanwall,Vanwall,GB
veritas,Veritas,DE
weslake,Weslake,GB
yamaha,Yamaha,JP
zakspeed,Zakspeed,DE
