sessionId,entrantId,positionOrder,positionText,laps,time
1986-15-FP1,5862,1,1,,78601
1986-15-FP1,5867,2,2,,78779
1986-15-FP1,5874,3,3,,79004
1986-15-FP1,5858,4,4,,79099
1986-15-FP1,5861,5,5,,79588
1986-15-FP1,5857,6,6,,79851
1986-15-FP1,5883,7,7,,80471
1986-15-FP1,5881,8,8,,80737
1986-15-FP1,5863,9,9,,80746
1986-15-FP1,5887,10,10,,80950
1986-15-FP1,5882,11,11,,80978
1986-15-FP1,5873,12,12,,81205
1986-15-FP1,5898,13,13,,81359
1986-15-FP1,5886,14,14,,81460
1986-15-FP1,5868,15,15,,81484
1986-15-FP1,5879,16,16,,81747
1986-15-FP1,5888,17,17,,81768
1986-15-FP1,5866,18,18,,82011
1986-15-FP1,5872,19,19,,82050
1986-15-FP1,5890,20,20,,82597
1986-15-FP1,5885,21,21,,82812
1986-15-FP1,5884,22,22,,82947
1986-15-FP1,5900,23,23,,83986
1986-15-FP1,5878,24,24,,85920
1986-15-FP1,5895,25,25,,87024
1986-15-FP1,5893,26,26,,88977
1986-16-FP1,5861,1,1,,83440
1986-16-FP1,5862,2,2,,84097
1986-16-FP1,5879,3,3,,84344
1986-16-FP1,5867,4,4,,84839
1986-16-FP1,5858,5,5,,84978
1986-16-FP1,5881,6,6,,85141
1986-16-FP1,5874,7,7,,85217
1986-16-FP1,5857,8,8,,85973
1986-16-FP1,5873,9,9,,86012
1986-16-FP1,5885,10,10,,86310
1986-16-FP1,5886,11,11,,86363
1986-16-FP1,5888,12,12,,86845
1986-16-FP1,5898,13,13,,86900
1986-16-FP1,5883,14,14,,87290
1986-16-FP1,5866,15,15,,87366
1986-16-FP1,5882,16,16,,87389
1986-16-FP1,5900,17,17,,87650
1986-16-FP1,5887,18,18,,87670
1986-16-FP1,5868,19,19,,87752
1986-16-FP1,5872,20,20,,88467
1986-16-FP1,5884,21,21,,89373
1986-16-FP1,5863,22,22,,89496
1986-16-FP1,5890,23,23,,89729
1986-16-FP1,5878,24,24,,90075
1986-16-FP1,5893,25,25,,124346
1986-16-FP1,5895,26,26,,515061
1988-01-FP1,5954,1,1,,91234
1988-01-FP1,5955,2,2,,91761
1988-01-FP1,5950,3,3,,91987
1988-01-FP1,5969,4,4,,92609
1988-01-FP1,5961,5,5,,92887
1988-01-FP1,5962,6,6,,93137
1988-01-FP1,5970,7,7,,93276
1988-01-FP1,5960,8,8,,93953
1988-01-FP1,5959,9,9,,93974
1988-01-FP1,5946,10,10,,94177
1988-01-FP1,5951,11,11,,95146
1988-01-FP1,5957,12,12,,95346
