id,name,fullName,shortName,countryId
70th-anniversary,70th Anniversary,70th Anniversary Grand Prix,70th Anniversary GP,GB
abu-dhabi,Abu Dhabi,Abu Dhabi Grand Prix,Abu Dhabi GP,AE
argentina,Argentina,Argentine Grand Prix,Argentine GP,AR
australia,Australia,Australian Grand Prix,Australian GP,AU
austria,Austria,Austrian Grand Prix,Austrian GP,AT
azerbaijan,Azerbaijan,Azerbaijan Grand Prix,Azerbaijan GP,AZ
bahrain,Bahrain,Bahrain Grand Prix,Bahrain GP,BH
belgium,Belgium,Belgian Grand Prix,Belgian GP,BE
brazil,Brazil,Brazilian Grand Prix,Brazilian GP,BR
caesars-palace,Caesars Palace,Caesars Palace Grand Prix,Caesars Palace GP,US
canada,Canada,Canadian Grand Prix,Canadian GP,CA
china,China,Chinese Grand Prix,Chinese GP,CN
dallas,Dallas,Dallas Grand Prix,Dallas GP,US
detroit,Detroit,Detroit Grand Prix,Detroit GP,US
eifel,Eifel,Eifel Grand Prix,Eifel GP,DE
emilia-romagna,Emilia Romagna,Emilia Romagna Grand Prix,Emilia Romagna GP,IT
europe,Europe,European Grand Prix,European GP,
france,France,French Grand Prix,French GP,FR
germany,Germany,German Grand Prix,German GP,DE
great-britain,Great Britain,British Grand Prix,British GP,GB
hungary,Hungary,Hungarian Grand Prix,Hungarian GP,HU
india,India,Indian Grand Prix,Indian GP,IN
indianapolis,Indianapolis,Indianapolis 500,Indy 500,US
italy,Italy,Italian Grand Prix,Italian GP,IT
japan,Japan,Japanese Grand Prix,Japanese GP,JP
korea,Korea,Korean Grand Prix,Korean GP,KR
luxembourg,Luxembourg,Luxembourg Grand Prix,Luxembourg GP,LU
malaysia,Malaysia,Malaysian Grand Prix,Malaysian GP,MY
mexico,Mexico,Mexican Grand Prix,Mexican GP,MX
miami,Miami,Miami Grand Prix,Miami GP,US
monaco,Monaco,Monaco Grand Prix,Monaco GP,MC
morocco,Morocco,Moroccan Grand Prix,Moroccan GP,MA
netherlands,Netherlands,Dutch Grand Prix,Dutch GP,NL
pacific,Pacific,Pacific Grand Prix,Pacific GP,
pescara,Pescara,Pescara Grand Prix,Pescara GP,IT
portugal,Portugal,Portuguese Grand Prix,Portuguese GP,PT
qatar,Qatar,Qatar Grand Prix,Qatar GP,QA
russia,Russia,Russian Grand Prix,Russian GP,RU
sakhir,Sakhir,Sakhir Grand Prix,Sakhir GP,BH
san-marino,San Marino,San Marino Grand Prix,San Marino GP,SM
saudi-arabia,Saudi Arabia,Saudi Arabian Grand Prix,Saudi Arabian GP,SA
singapore,Singapore,Singapore Grand Prix,Singapore GP,SG
south-africa,South Africa,South African Grand Prix,South African GP,ZA
spain,Spain,Spanish Grand Prix,Spanish GP,ES
styria,Styria,Styrian Grand Prix,Styrian GP,AT
sweden,Sweden,Swedish Grand Prix,Swedish GP,SE
switzerland,Switzerland,Swiss Grand Prix,Swiss GP,CH
turkey,Turkey,Turkish Grand Prix,Turkish GP,TR
tuscany,Tuscany,Tuscan Grand Prix,Tuscan GP,IT
united-states-west,United States West,United States Grand Prix West,United States GP West,US
united-states,United States,United States Grand Prix,United States GP,US
