sessionId,entrantId,positionOrder,positionText,laps,time
1977-10-PQ,5265,1,1.0,,79480
1977-10-PQ,5261,2,2.0,,79550
1977-10-PQ,5230,3,3.0,,79630
1977-10-PQ,5247,4,4.0,,79720
1977-10-PQ,5239,5,5.0,,79820
1977-10-PQ,5238,6,6.0,,79860
1977-10-PQ,5234,7,7.0,,79970
1977-10-PQ,5237,8,8.0,,80380
1977-10-PQ,5235,9,9.0,,80630
1977-10-PQ,5263,10,10.0,,81930
1977-10-PQ,5264,11,11.0,,82620
1977-10-PQ,5267,12,12.0,,82800
1977-10-PQ,5268,13,13.0,,83760
1977-10-PQ,5248,14,14.0,,85160
1978-04-PQ,5334,1,1.0,,83540
1978-04-PQ,5333,2,2.0,,83840
1978-04-PQ,5320,3,3.0,,84729
1978-04-PQ,5318,4,4.0,,85076
1978-04-PQ,5332,5,5.0,,85785
1978-04-PQ,5315,6,6.0,,86128
1978-04-PQ,5338,7,7.0,,86150
1978-04-PQ,5337,8,8.0,,86615
1978-05-PQ,5333,1,1.0,,91310
1978-05-PQ,5334,2,2.0,,91880
1978-05-PQ,5332,3,3.0,,93070
1978-05-PQ,5337,4,4.0,,93550
1978-05-PQ,5331,5,5.0,,93720
1978-05-PQ,5315,6,6.0,,94590
1978-05-PQ,5343,7,7.0,,94860
1978-05-PQ,5320,8,8.0,,109430
1978-06-PQ,5334,1,1.0,,83760
1978-06-PQ,5332,2,2.0,,84460
1978-06-PQ,5331,3,3.0,,84580
1978-06-PQ,5349,4,4.0,,84650
1978-06-PQ,5343,5,5.0,,84910
1978-06-PQ,5315,6,6.0,,85100
1978-06-PQ,5320,7,7.0,,86690
1978-07-PQ,5315,1,1.0,,79840
1978-07-PQ,5334,2,2.0,,79970
1978-07-PQ,5320,3,3.0,,80030
1978-07-PQ,5343,4,4.0,,80190
1978-07-PQ,5332,5,5.0,,81250
1978-11-PQ,5360,1,1.0,,130130
1978-11-PQ,5320,2,2.0,,130820
1978-11-PQ,5315,3,3.0,,131800
1978-11-PQ,5331,4,4.0,,132250
1978-11-PQ,5343,5,5.0,,132450
1978-13-PQ,5349,1,1.0,,79590
1978-13-PQ,5343,2,2.0,,80010
1978-13-PQ,5320,3,3.0,,80320
1978-13-PQ,5371,4,4.0,,80460
1978-13-PQ,5366,5,5.0,,80520
1978-13-PQ,5331,6,6.0,,80520
1978-13-PQ,5315,7,7.0,,80950
1978-13-PQ,5363,8,8.0,,81000
1978-13-PQ,5338,9,9.0,,81410
1978-13-PQ,5368,10,10.0,,82240
1978-14-PQ,5315,1,1.0,,99880
1978-14-PQ,5366,2,2.0,,100110
1978-14-PQ,5343,3,3.0,,100240
1978-14-PQ,5373,4,4.0,,100270
1978-14-PQ,5371,5,5.0,,100750
1978-14-PQ,5368,6,6.0,,100930
1978-14-PQ,5374,7,7.0,,102240
1979-07-PQ,5393,1,1.0,,93190
1979-07-PQ,5409,2,2.0,,94300
1979-07-PQ,5430,3,3.0,,98150
1981-06-PQ,5545,1,1.0,,90492
1981-06-PQ,5528,2,2.0,,91249
1981-06-PQ,5568,3,3.0,,92704
1981-06-PQ,5569,4,4.0,,93189
1981-06-PQ,5560,5,5.0,,93285
1981-06-PQ,5555,6,6.0,,93800
1981-06-PQ,5554,7,7.0,,95249
1981-06-PQ,5558,8,8.0,,97528
1981-06-PQ,5559,9,9.0,,101966
1982-06-PQ,5631,1,1.0,,89479
1982-06-PQ,5662,2,2.0,,89901
1982-06-PQ,5653,3,3.0,,90352
1982-06-PQ,5654,4,4.0,,90407
1982-06-PQ,5632,5,5.0,,91059
1982-06-PQ,5663,6,6.0,,91212
1982-06-PQ,5622,7,7.0,,91471
1982-06-PQ,5664,8,8.0,,112401
1983-05-PQ,5711,1,1.0,,92190
1983-05-PQ,5697,2,2.0,,92502
1983-05-PQ,5710,3,3.0,,93453
1983-05-PQ,5709,4,4.0,,93817
