constructorId,parentConstructorId,yearFrom,yearTo
sauber,alfa-romeo,1993,2005
bmw-sauber,alfa-romeo,2006,2010
sauber,alfa-romeo,2011,2018
alfa-romeo,alfa-romeo,2019,
minardi,alphatauri,1985,2005
toro-rosso,alphatauri,2006,2019
alphatauri,alphatauri,2020,
toleman,alpine,1981,1985
benetton,alpine,1986,2001
renault,alpine,2002,2011
lotus-f1,alpine,2012,2015
renault,alpine,2016,2020
alpine,alpine,2021,
coloni,andrea-moda,1987,1991
andrea-moda,andrea-moda,1992,1992
arrows,arrows,1978,1990
footwork,arrows,1991,1996
arrows,arrows,1997,2002
jordan,aston-martin,1991,2005
midland,aston-martin,2006,2006
spyker,aston-martin,2007,2007
force-india,aston-martin,2008,2018
racing-point,aston-martin,2019,2020
aston-martin,aston-martin,2021,
tyrrell,bar,1970,1998
bar,bar,1999,2005
honda,bar,2006,2008
brawn,bar,2009,2009
mercedes,bar,2010,
toleman,benetton,1981,1985
benetton,benetton,1986,2001
renault,benetton,2002,2011
lotus-f1,benetton,2012,2015
renault,benetton,2016,2020
alpine,benetton,2021,
sauber,bmw-sauber,1993,2005
bmw-sauber,bmw-sauber,2006,2010
sauber,bmw-sauber,2011,2018
alfa-romeo,bmw-sauber,2019,
tyrrell,brawn,1970,1998
bar,brawn,1999,2005
honda,brawn,2006,2008
brawn,brawn,2009,2009
mercedes,brawn,2010,
lotus-racing,caterham,2010,2011
caterham,caterham,2012,2014
coloni,coloni,1987,1991
andrea-moda,coloni,1992,1992
osella,fondmetal,1980,1990
fondmetal,fondmetal,1991,1992
arrows,footwork,1978,1990
footwork,footwork,1991,1996
arrows,footwork,1997,2002
jordan,force-india,1991,2005
midland,force-india,2006,2006
spyker,force-india,2007,2007
force-india,force-india,2008,2018
racing-point,force-india,2019,2020
aston-martin,force-india,2021,
politoys,frank-williams-racing-cars,1972,1972
iso-marlboro,frank-williams-racing-cars,1973,1974
frank-williams-racing-cars,frank-williams-racing-cars,1975,1975
wolf-williams,frank-williams-racing-cars,1976,1976
wolf,frank-williams-racing-cars,1977,1979
tyrrell,honda,1970,1998
bar,honda,1999,2005
honda,honda,2006,2008
brawn,honda,2009,2009
mercedes,honda,2010,
politoys,iso-marlboro,1972,1972
iso-marlboro,iso-marlboro,1973,1974
frank-williams-racing-cars,iso-marlboro,1975,1975
wolf-williams,iso-marlboro,1976,1976
wolf,iso-marlboro,1977,1979
stewart,jaguar,1997,1999
jaguar,jaguar,2000,2004
red-bull,jaguar,2005,
jordan,jordan,1991,2005
midland,jordan,2006,2006
spyker,jordan,2007,2007
force-india,jordan,2008,2018
racing-point,jordan,2019,2020
aston-martin,jordan,2021,
march,leyton-house,1970,1989
leyton-house,leyton-house,1990,1991
march,leyton-house,1992,1992
ligier,ligier,1976,1996
prost,ligier,1997,2001
toleman,lotus-f1,1981,1985
benetton,lotus-f1,1986,2001
renault,lotus-f1,2002,2011
lotus-f1,lotus-f1,2012,2015
renault,lotus-f1,2016,2020
alpine,lotus-f1,2021,
lotus-racing,lotus-racing,2010,2011
caterham,lotus-racing,2012,2014
virgin,manor,2010,2011
marussia,manor,2012,2015
manor,manor,2016,2016
march,march,1970,1989
leyton-house,march,1990,1991
march,march,1992,1992
virgin,marussia,2010,2011
marussia,marussia,2012,2015
manor,marussia,2016,2016
tyrrell,mercedes,1970,1998
bar,mercedes,1999,2005
honda,mercedes,2006,2008
brawn,mercedes,2009,2009
mercedes,mercedes,2010,
jordan,midland,1991,2005
midland,midland,2006,2006
spyker,midland,2007,2007
force-india,midland,2008,2018
racing-point,midland,2019,2020
aston-martin,midland,2021,
minardi,minardi,1985,2005
toro-rosso,minardi,2006,2019
alphatauri,minardi,2020,
osella,osella,1980,1990
fondmetal,osella,1991,1992
politoys,politoys,1972,1972
iso-marlboro,politoys,1973,1974
frank-williams-racing-cars,politoys,1975,1975
wolf-williams,politoys,1976,1976
wolf,politoys,1977,1979
ligier,prost,1976,1996
prost,prost,1997,2001
jordan,racing-point,1991,2005
midland,racing-point,2006,2006
spyker,racing-point,2007,2007
force-india,racing-point,2008,2018
racing-point,racing-point,2019,2020
aston-martin,racing-point,2021,
stewart,red-bull,1997,1999
jaguar,red-bull,2000,2004
red-bull,red-bull,2005,
toleman,renault,1981,1985
benetton,renault,1986,2001
renault,renault,2002,2011
