sessionId,entrantId,positionOrder,positionText,laps,time
1950-01-Q1,2,1,1,,110800
1950-01-Q1,3,2,2,,111000
1950-01-Q1,1,3,3,,111000
1950-01-Q1,4,4,4,,112200
1950-01-Q1,21,5,5,,112600
1950-01-Q1,14,6,6,,113400
1950-01-Q1,17,7,7,,115400
1950-01-Q1,20,8,8,,115800
1950-01-Q1,15,9,9,,116000
1950-01-Q1,9,10,10,,116600
1950-01-Q1,19,11,11,,116600
1950-01-Q1,7,12,12,,117400
1950-01-Q1,13,13,13,,117400
1950-01-Q1,16,14,14,,117800
1950-01-Q1,12,15,15,,118400
1950-01-Q1,6,16,16,,121000
1950-01-Q1,24,17,17,,122600
1950-01-Q1,5,18,18,,125600
1950-01-Q1,23,19,19,,126200
1950-01-Q1,10,20,20,,127000
1950-01-Q1,18,21,21,,128800
