entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,timePenalty,reasonRetired
51,1,1,10015970,5,,138,9,1,9,,
53,2,2,,10,,137,6,1,6,,
59,3,3,,3,,137,4,1,4,,
83,4,4,,12,,137,3,1,3,,
62,5,5,,,,,1,1,1,,
65,5,5,,9,,136,1,1,1,,
57,6,6,,23,,136,0,1,0,,
98,7,7,,1,,135,0,1,0,,
55,8,8,,4,,135,0,1,0,,
56,9,9,,19,,135,0,1,0,,
85,10,10,,11,,135,0,1,0,,
52,11,11,,16,,133,0,1,0,,
66,12,12,,13,,133,0,1,0,,
63,13,13,,26,,132,0,1,0,,
82,14,14,,6,,131,0,1,0,,Spun off
84,15,15,,24,,130,0,1,0,,
92,16,16,,31,,128,0,1,0,,
68,17,17,,27,,128,0,1,0,,
87,18,18,,33,,128,0,1,0,,
54,19,19,,20,,127,0,1,0,,
67,20,20,,14,,126,0,1,0,,
95,21,21,,15,,125,0,1,0,,
73,22,22,,29,,123,0,1,0,,
94,23,23,,30,,123,0,1,0,,Spun off
93,24,24,,28,,122,0,1,0,,
61,25,25,,21,,112,0,1,0,,Oil line
74,25,25,,,,,0,1,0,,
90,26,26,,22,,111,0,1,0,,Transmission
71,27,27,,17,,108,0,1,0,,Oil pressure
74,28,28,,2,,64,0,1,0,,Oil leak
86,29,29,,32,,52,0,1,0,,Compressor
69,30,30,,25,,42,0,1,0,,Oil pressure
62,31,31,,8,,30,0,1,0,,Wheel bearing
81,32,32,,18,,25,0,1,0,,Stalled
91,33,33,,7,,10,0,1,0,,Oil leak
