sessionId,entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
1951-07-R,337,1,1,9759300,3,,80,8,1,8,,,
1951-07-R,339,2,2,9803900,4,,80,6,1,6,44600,,
1951-07-R,351,3,3,,7,,79,3,1,2,+1 lap,,
1951-07-R,355,3,3,,7,,79,2,1,2,+1 lap,,
1951-07-R,338,4,4,,5,,79,3,0,0,+1 lap,,
1951-07-R,340,5,5,,6,,78,2,1,2,+2 laps,,
1951-07-R,358,6,6,,11,,74,0,1,0,+6 laps,,
1951-07-R,343,7,7,,15,,73,0,1,0,+7 laps,,
1951-07-R,345,8,8,,14,,72,0,1,0,+8 laps,,
1951-07-R,356,9,9,,18,,67,0,1,0,+13 laps,,
1951-07-R,354,10,DNF,,1,,39,0,1,0,,,Engine
1951-07-R,360,11,DNF,,12,,29,0,1,0,,,Engine
1951-07-R,357,12,DNF,,13,,29,0,1,0,,,Engine
1951-07-R,344,13,DNF,,17,,23,0,1,0,,,Ignition
1951-07-R,35,14,DNF,,20,,9,0,1,0,,,Engine
1951-07-R,347,15,DNF,,22,,7,0,1,0,,,Overheating
1951-07-R,351,16,DNF,,2,,6,0,1,0,,,Engine
1951-07-R,346,17,DNF,,21,,4,0,1,0,,,Oil pump
1951-07-R,352,18,DNF,,9,,1,0,1,0,,,Compressor
1951-07-R,186,19,DNF,,19,,1,0,1,0,,,Magneto
1951-07-R,341,20,DNF,,16,,1,0,1,0,,,Transmission
1951-07-R,348,21,DNS,,8,,,0,1,0,,,
1951-07-R,349,22,DNS,,10,,,0,1,0,,,
