sessionId,entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
1953-02-R,656,1,1,13981690,1,,200,9,1,9,,,
1953-02-R,658,2,2,14192562,12,,200,6,1,6,"03:30,87",,
1953-02-R,647,3,3,14233190,9,,200,2,1,2,"04:11,50",,
1953-02-R,648,3,3,14233190,9,,200,2,1,2,"04:11,50",,
1953-02-R,651,4,4,14260930,2,,200,1.5,1,1.5,"04:39,24",,
1953-02-R,683,4,4,14260930,2,,200,1.5,1,1.5,"04:39,24",,
1953-02-R,649,5,5,14451330,3,,200,2,1,2,"07:49,64",,
1953-02-R,676,6,6,14471900,21,,200,0,1,0,"08:10,21",,
1953-02-R,646,7,7,14507710,25,,200,0,1,0,"08:46,02",,
1953-02-R,655,8,8,14586240,20,,200,0,1,0,"10:04,55",,
1953-02-R,674,9,9,,6,,196,0,1,0,,,Accident
1953-02-R,707,9,9,,6,,196,0,1,0,,,Accident
1953-02-R,708,9,9,,6,,196,0,1,0,,,Accident
1953-02-R,680,10,10,,32,,193,0,1,0,+7 laps,,
1953-02-R,653,11,11,,26,,191,0,1,0,,,Accident
1953-02-R,667,12,12,,19,,190,0,1,0,+10 laps,,
1953-02-R,689,12,12,,19,,190,0,1,0,+10 laps,,
1953-02-R,701,13,13,,4,,184,0,1,0,,,Engine
1953-02-R,652,14,14,,31,,183,0,1,0,+17 laps,,
1953-02-R,646,15,15,,28,,177,0,1,0,,,Magneto
1953-02-R,677,15,15,,28,,177,0,1,0,,,Magneto
1953-02-R,669,16,16,,10,,177,0,1,0,,,Axle
1953-02-R,704,16,16,,10,,177,0,1,0,,,Axle
1953-02-R,661,17,17,,14,,176,0,1,0,+24 laps,,
1953-02-R,660,18,18,,22,,169,0,1,0,,,Oil leak
1953-02-R,682,19,19,,18,,166,0,1,0,,,Oil leak
1953-02-R,685,19,19,,18,,166,0,1,0,,,Oil leak
1953-02-R,678,20,20,,29,,151,0,1,0,,,Suspension
1953-02-R,696,21,21,,23,,146,0,1,0,,,Transmission
1953-02-R,691,22,22,,24,,115,0,1,0,,,Accident
1953-02-R,669,23,23,,7,,107,0,1,0,,,Overheating
1953-02-R,681,23,23,,7,,107,0,1,0,,,Overheating
1953-02-R,707,23,23,,7,,107,0,1,0,,,Overheating
1953-02-R,648,24,24,,27,,94,0,1,0,,,Ignition
1953-02-R,651,25,25,,17,,89,0,1,0,,,Magneto
1953-02-R,659,26,26,,8,,86,0,1,0,,,Engine
1953-02-R,672,27,27,,15,,76,0,1,0,,,Accident
1953-02-R,674,28,28,,13,,53,0,1,0,,,Accident
1953-02-R,707,29,29,,16,,42,0,1,0,,,Fuel leak
1953-02-R,692,30,30,,30,,30,0,1,0,,,Magneto
1953-02-R,667,31,31,,11,,14,0,1,0,,,Oil leak
1953-02-R,682,32,32,,33,,6,0,1,0,,,Ignition
1953-02-R,669,33,33,,5,,3,0,1,0,,,Accident
