sessionId,entrantId,positionOrder,positionText,laps,time
1960-01-Q1,2150,1,1,,96900
1960-01-Q1,2142,2,2,,98500
1960-01-Q1,2153,3,3,,98900
1960-01-Q1,2152,4,4,,98900
1960-01-Q1,2147,5,5,,99200
1960-01-Q1,2145,6,6,,99300
1960-01-Q1,2144,7,7,,99700
1960-01-Q1,2151,8,8,,99900
1960-01-Q1,2149,9,9,,100300
1960-01-Q1,2141,10,10,,100600
1960-01-Q1,2148,11,11,,101000
1960-01-Q1,2134,12,12,,101800
1960-01-Q1,2140,13,13,,101800
1960-01-Q1,2143,14,14,,103600
1960-01-Q1,2155,15,15,,105000
1960-01-Q1,2132,16,16,,105500
1960-01-Q1,2133,17,17,,106100
1960-01-Q1,2135,18,18,,106100
1960-01-Q1,2139,19,19,,109000
1960-01-Q1,2137,20,20,,110100
1960-01-Q1,2154,21,21,,110500
1960-01-Q1,2138,22,22,,112800
