sessionId,entrantId,positionOrder,positionText,laps,time
1960-03-Q1,2187,1,1,,245580
1960-03-Q1,2185,2,2,,245950
1960-03-Q1,2182,3,3,,247320
1960-03-Q1,2217,4,4,,247350
1960-03-Q1,2190,5,5,,247520
1960-03-Q1,2202,6,6,,247650
1960-03-Q1,2196,7,7,,248270
1960-03-Q1,2188,8,8,,248700
1960-03-Q1,2214,9,9,,248850
1960-03-Q1,2191,10,10,,249080
1960-03-Q1,2215,11,11,,249390
1960-03-Q1,2218,12,12,,249640
1960-03-Q1,2189,13,13,,250400
1960-03-Q1,2206,14,14,,250630
1960-03-Q1,2203,15,15,,250850
1960-03-Q1,2186,16,16,,250930
1960-03-Q1,2184,17,17,,245830
1960-03-Q1,2183,18,18,,247910
1960-03-Q1,2200,19,19,,250250
1960-03-Q1,2205,20,20,,250920
1960-03-Q1,2192,21,21,,251470
1960-03-Q1,2201,22,22,,251600
1960-03-Q1,2213,23,23,,241520
1960-03-Q1,2212,24,24,,250180
1960-03-Q1,2210,25,25,,251110
1960-03-Q1,2219,26,26,,252130
1960-03-Q1,2194,27,27,,252400
1960-03-Q1,2195,28,28,,252890
1960-03-Q1,2211,29,29,,253160
1960-03-Q1,2216,30,30,,253810
1960-03-Q1,2208,31,31,,254870
1960-03-Q1,2193,32,32,,256450
1960-03-Q1,2198,33,33,,251370
