sessionId,entrantId,positionOrder,positionText,laps,time
1963-10-Q1,2782,1,1,,88900
1963-10-Q1,2853,2,2,,89000
1963-10-Q1,2854,3,3,,89100
1963-10-Q1,2949,4,4,,89800
1963-10-Q1,2950,5,5,,90200
1963-10-Q1,2951,6,6,,90300
1963-10-Q1,2952,7,7,,90400
1963-10-Q1,2783,8,8,,90400
1963-10-Q1,2830,9,9,,91200
1963-10-Q1,2954,10,10,,91500
1963-10-Q1,2955,11,11,,92000
1963-10-Q1,2953,12,12,,94500
1963-10-Q1,2961,13,13,,94600
1963-10-Q1,2964,14,14,,95500
1963-10-Q1,2963,15,15,,95600
1963-10-Q1,2960,16,16,,95700
1963-10-Q1,2962,17,17,,95800
1963-10-Q1,2958,18,18,,96400
1963-10-Q1,2965,19,19,,96500
1963-10-Q1,2956,20,20,,96600
1963-10-Q1,2957,21,21,,96900
