sessionId,entrantId,positionOrder,positionText,laps,time
1969-03-Q1,3884,1,1,,84600
1969-03-Q1,3899,2,2,,85000
1969-03-Q1,3885,3,3,,85400
1969-03-Q1,3861,4,4,,85800
1969-03-Q1,3897,5,5,,86000
1969-03-Q1,3890,6,6,,86000
1969-03-Q1,3896,7,7,,86300
1969-03-Q1,3895,8,8,,86400
1969-03-Q1,3902,9,9,,86400
1969-03-Q1,3892,10,10,,86500
1969-03-Q1,3894,11,11,,86700
1969-03-Q1,3893,12,12,,86800
1969-03-Q1,3901,13,13,,88400
1969-03-Q1,3898,14,14,,90500
1969-03-Q1,3903,15,15,,90500
1969-03-Q1,3900,16,16,,92800
