sessionId,entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
1970-02-R,3998,1,1,7858200,3,,90,9,1,9,,,
1970-02-R,4030,2,2,,11,,89,6,1,6,+1 lap,,
1970-02-R,4035,3,3,,16,,89,4,1,4,+1 lap,,
1970-02-R,4025,4,4,,15,,89,3,1,3,+1 lap,,
1970-02-R,4034,5,5,,14,,88,2,1,2,+2 laps,,
1970-02-R,4027,6,DNF,,12,,76,0,1,0,,,Gearbox
1970-02-R,4026,7,DNF,,1,,61,0,1,0,,,Engine
1970-02-R,4041,8,DNF,,17,,43,0,1,0,,,Engine
1970-02-R,4039,9,DNF,,9,,33,0,1,0,,,Engine
1970-02-R,4023,10,DNF,,4,,31,0,1,0,,,Engine
1970-02-R,4028,11,DNF,,6,,10,0,1,0,,,Engine
1970-02-R,4024,12,DNF,,2,,10,0,1,0,,,Ignition
1970-02-R,4022,13,DNF,,8,,9,0,1,0,,,Ignition
1970-02-R,4029,14,DNF,,5,,4,0,1,0,,,Withdrew
1970-02-R,4021,15,DNF,,7,,0,0,1,0,,,Accident
1970-02-R,4033,16,DNF,,10,,0,0,1,0,,,Accident
1970-02-R,4031,17,DNS,,13,,,0,1,0,,,Accident in practice
