entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
4515,1,1,6132300,1,,14,9,1,9,,,
4472,2,2,6180600,7,,14,6,1,6,48300,,
4646,3,3,6199000,4,,14,4,1,4,"01:06,70",,
4652,4,4,6272500,18,,14,3,1,3,"02:20,20",,
4643,5,5,6288000,19,,14,2,1,2,"02:35,70",,
4647,6,6,6311900,15,,14,1,1,1,"02:59,60",,
4661,7,7,6312400,21,,14,0,1,0,"03:00,10",,
4663,8,8,6443000,27,,14,0,1,0,"05:10,70",,
4644,9,9,6452500,13,,14,0,1,0,"05:20,20",,
4595,10,10,6476000,5,,14,0,1,0,"05:43,70",,
4486,11,11,,2,,13,0,1,0,,,Collision
4654,12,12,,22,,13,0,1,0,+1 lap,,
4651,13,13,,20,,13,0,1,0,+1 lap,,
4650,14,14,,12,,13,0,1,0,+1 lap,,
4645,15,15,,8,,13,0,1,0,+1 lap,,
4656,16,NC,,11,,11,0,1,0,+3 laps,,
4655,17,DNF,,9,,10,0,1,0,,,Accident
4641,18,DNF,,3,,10,0,1,0,,,Gearbox
4642,19,DNF,,10,,8,0,1,0,,,Engine
4649,20,DNF,,16,,8,0,1,0,,,Suspension
4648,21,DNF,,6,,6,0,1,0,,,Differential
4657,22,DNF,,14,,6,0,1,0,,,Electrical
4660,23,DNF,,23,,6,0,1,0,,,Oil leak
4662,24,DNF,,25,,4,0,1,0,,,Engine
4613,25,DNF,,26,,4,0,1,0,,,Physical
4658,26,DNF,,24,,4,0,1,0,,,Oil leak
4653,27,DNF,,17,,3,0,1,0,,,Engine
