entrantId,positionOrder,positionText,laps,time
4664,1,1,,100481
4749,2,2,,100527
4748,3,3,,101084
4709,4,4,,101445
4756,5,5,,101692
4738,6,6,,101951
4747,7,7,,101979
4750,8,8,,102058
4740,9,9,,102400
4739,10,10,,102482
4733,11,11,,102521
4737,12,12,,102597
4757,13,13,,102766
4752,14,14,,103204
4755,15,15,,103319
4742,16,16,,103543
4745,17,17,,104075
4746,18,18,,104240
4753,19,19,,104279
4732,20,20,,104280
4736,21,21,,104369
4754,22,22,,104433
4758,23,23,,104525
4744,24,24,,104925
4725,25,25,,105232
4735,26,26,,105290
4734,27,27,,106142
4706,28,28,,106313
4743,29,29,,106599
4730,30,30,,107023
4741,31,31,,110600
4751,32,32,,117674
