sessionId,entrantId,positionOrder,positionText,laps,time
1973-07-Q1,4825,1,1,,83810
1973-07-Q1,4848,2,2,,83899
1973-07-Q1,4847,3,3,,83912
1973-07-Q1,4824,4,4,,84084
1973-07-Q1,4852,5,5,,84489
1973-07-Q1,4849,6,6,,84625
1973-07-Q1,4850,7,7,,84937
1973-07-Q1,4845,8,8,,85604
1973-07-Q1,4860,9,9,,85738
1973-07-Q1,4863,10,10,,85776
1973-07-Q1,4865,11,11,,85800
1973-07-Q1,4859,12,12,,85995
1973-07-Q1,4853,13,13,,86127
1973-07-Q1,4871,14,14,,86187
1973-07-Q1,4861,15,15,,86211
1973-07-Q1,4864,16,16,,86255
1973-07-Q1,4857,17,17,,86305
1973-07-Q1,4854,18,18,,86382
1973-07-Q1,4856,19,19,,86632
1973-07-Q1,4867,20,20,,86874
1973-07-Q1,4855,21,21,,88580
1973-07-Q1,4870,22,22,,88972
