entrantId,positionOrder,positionText,laps,time
4907,1,1,,69820
4936,2,2,,70860
4908,3,3,,71040
4901,4,4,,71070
4923,5,5,,71210
4915,6,6,,71290
4926,7,7,,71390
4928,8,8,,71460
4932,9,9,,71530
4905,10,10,,71570
4944,11,11,,71600
4902,12,12,,71610
4921,13,13,,71980
4946,14,14,,72020
4910,15,15,,72330
4924,16,16,,72420
4927,17,17,,72530
4939,18,18,,72730
4920,19,19,,72760
4950,20,20,,72850
4919,21,21,,73330
4938,22,22,,73340
4949,23,23,,73360
4903,24,24,,73470
4922,25,25,,73490
4929,26,26,,73810
4948,27,27,,74050
4951,28,28,,74220
4918,29,29,,74300
4945,30,30,,75600
4925,31,31,,79880
4952,32,32,,88770
