sessionId,entrantId,positionOrder,positionText,laps,time
1976-08-Q1,5108,1,1,,107890
1976-08-Q1,5132,2,2,,108170
1976-08-Q1,5134,3,3,,108590
1976-08-Q1,5133,4,4,,108690
1976-08-Q1,5105,5,5,,108750
1976-08-Q1,5122,6,6,,109070
1976-08-Q1,5135,7,7,,109190
1976-08-Q1,5148,8,8,,109220
1976-08-Q1,5143,9,9,,109630
1976-08-Q1,5104,10,10,,109790
1976-08-Q1,5106,11,11,,109790
1976-08-Q1,5121,12,12,,109830
1976-08-Q1,5115,13,13,,110060
1976-08-Q1,5109,14,14,,110100
1976-08-Q1,5112,15,15,,110120
1976-08-Q1,5111,16,16,,110270
1976-08-Q1,5119,17,17,,110310
1976-08-Q1,5129,18,18,,111110
1976-08-Q1,5136,19,19,,111410
1976-08-Q1,5131,20,20,,111790
1976-08-Q1,5117,21,21,,112110
1976-08-Q1,5137,22,22,,112290
1976-08-Q1,5124,23,23,,112410
1976-08-Q1,5146,24,24,,112600
1976-08-Q1,5144,25,25,,112630
1976-08-Q1,5150,26,26,,112820
1976-08-Q1,5151,27,27,,113490
1976-08-Q1,5130,28,28,,113780
1976-08-Q1,5127,29,29,,114050
1976-08-Q1,5140,30,30,,115300
