entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
5198,1,1,6695470,2,,80,9,1,9,,,
5204,2,2,6696243,1,,80,6,1,6,773,,
5211,3,3,6700327,3,,80,4,1,4,4857,,
5197,4,4,6769957,12,,80,3,1,3,"01:14,49",,
5214,5,5,6776378,7,,80,2,1,2,"01:20,91",,
5230,6,6,,9,,79,1,1,1,+1 lap,,
5194,7,7,,8,,79,0,1,0,+1 lap,,
5199,8,8,,16,,79,0,1,0,+1 lap,,
5229,9,9,,5,,78,0,1,0,,,Electrical
5225,10,10,,18,,77,0,1,0,+3 laps,,
5209,11,11,,19,,77,0,1,0,+3 laps,,
5196,12,DNF,,10,,62,0,1,0,,,Fuel system
5212,13,DNF,,13,,57,0,1,0,,,Gearbox
5224,14,DNF,,17,,53,0,1,0,,,Brakes
5227,15,DNF,,14,,40,0,1,0,,,Gearbox
5195,16,DNF,,15,,39,0,1,0,,,Handling
5226,17,DNF,,20,,27,0,1,0,,,Gearbox
5202,18,DNF,,22,,15,0,1,0,,,Gearbox
5205,19,DNF,,4,,5,0,1,0,,,Accident
5221,20,DNF,,21,,4,0,1,0,,,Accident
5210,21,DNF,,11,,0,0,1,0,,,Accident
5223,22,DSQ,,6,,33,0,1,0,,,Push start
