entrantId,positionOrder,positionText,laps,time
5344,1,1,,76390
5350,2,2,,76680
5325,3,3,,77400
5300,4,4,,77660
5326,5,5,,77760
5323,6,6,,77940
5324,7,7,,77980
5333,8,8,,78140
5346,9,9,,78240
5352,10,10,,78420
5327,11,11,,78990
5297,12,12,,79060
5296,13,13,,79110
5301,14,14,,79280
5306,15,15,,79330
5340,16,16,,79710
5302,17,17,,79980
5317,18,18,,79990
5334,19,19,,80030
5315,20,20,,80210
5341,21,21,,80360
5339,22,22,,80670
5351,23,23,,80770
5335,24,24,,80870
5320,25,25,,80910
5343,26,26,,81170
5353,27,27,,81550
5345,28,28,,81590
