entrantId,positionOrder,positionText,laps,time
5469,1,1,,70000
5470,2,2,,70210
5460,3,3,,71870
5478,4,4,,71880
5477,5,5,,72110
5480,6,6,,72150
5484,7,7,,72230
5457,8,8,,72380
5476,9,9,,72510
5485,10,10,,72700
5467,11,11,,72740
5456,12,12,,72950
5481,13,13,,72950
5486,14,14,,73040
5461,15,15,,73050
5475,16,16,,73130
5473,17,17,,73230
5482,18,18,,73250
5466,19,19,,73260
5468,20,20,,73560
5463,21,21,,73760
5483,22,22,,73840
5474,23,23,,73840
5462,24,24,,74040
5489,25,25,,74460
5488,26,26,,74540
5472,27,27,,75230
5487,28,28,,
