entrantId,positionOrder,positionText,laps,time
5477,1,1,,79305
5484,2,2,,79440
5460,3,3,,79571
5470,4,4,,79862
5480,5,5,,79907
5469,6,6,,80147
5457,7,7,,80182
5491,8,8,,80234
5456,9,9,,80382
5478,10,10,,80406
5461,11,11,,80419
5475,12,12,,80564
5476,13,13,,80606
5485,14,14,,80815
5481,15,15,,80824
5467,16,16,,80830
5486,17,17,,80935
5466,18,18,,81179
5468,19,19,,81477
5482,20,20,,81665
5462,21,21,,82218
5473,22,22,,82288
5483,23,23,,82442
5474,24,24,,82498
5489,25,25,,83486
5472,26,26,,83781
5490,27,27,,84896
