sessionId,entrantId,positionOrder,positionText,laps,time
1980-11-Q1,5470,1,1,,77530
1980-11-Q1,5469,2,2,,77740
1980-11-Q1,5480,3,3,,77810
1980-11-Q1,5484,4,4,,77820
1980-11-Q1,5460,5,5,,77850
1980-11-Q1,5478,6,6,,78150
1980-11-Q1,5476,7,7,,78520
1980-11-Q1,5466,8,8,,78600
1980-11-Q1,5457,9,9,,78630
1980-11-Q1,5467,10,10,,78860
1980-11-Q1,5456,11,11,,78870
1980-11-Q1,5477,12,12,,78940
1980-11-Q1,5485,13,13,,78980
1980-11-Q1,5509,14,14,,79070
1980-11-Q1,5483,15,15,,79530
1980-11-Q1,5500,16,16,,79630
1980-11-Q1,5486,17,17,,79710
1980-11-Q1,5488,18,18,,79740
1980-11-Q1,5511,19,19,,79940
1980-11-Q1,5481,20,20,,79950
1980-11-Q1,5507,21,21,,80170
1980-11-Q1,5498,22,22,,80210
1980-11-Q1,5506,23,23,,80320
1980-11-Q1,5505,24,24,,80530
1980-11-Q1,5501,25,25,,80620
1980-11-Q1,5508,26,26,,80760
1980-11-Q1,5510,27,27,,82800
1980-11-Q1,5462,28,28,,83490
