entrantId,positionOrder,positionText,laps,time
5562,1,1,,72158
5567,2,2,,72237
5579,3,3,,72328
5577,4,4,,72998
5549,5,5,,73370
5578,6,6,,73467
5564,7,7,,73976
5540,8,8,,74070
5536,9,9,,74119
5539,10,10,,74182
5535,11,11,,74440
5580,12,12,,74594
5581,13,13,,75189
5590,14,14,,75217
5538,15,15,,75313
5582,16,16,,75656
5592,17,17,,75943
5519,18,18,,76381
5558,19,19,,76388
5550,20,20,,76446
5533,21,21,,76695
5585,22,22,,76758
5588,23,23,,77053
5584,24,24,,77124
5591,25,25,,77229
5559,26,26,,77998
5534,27,27,,78173
5568,28,28,,80377
5586,29,29,,
5587,30,30,,
