entrantId,positionOrder,positionText,laps,time
5567,1,1,,107500
5562,2,2,,108080
5578,3,3,,108430
5579,4,4,,109260
5538,5,5,,109280
5577,6,6,,109380
5564,7,7,,109580
5540,8,8,,109970
5539,9,9,,110240
5549,10,10,,110360
5582,11,11,,110610
5590,12,12,,110650
5596,13,13,,110730
5586,14,14,,110740
5587,15,15,,110860
5580,16,16,,111490
5594,17,17,,112440
5597,18,18,,112590
5581,19,19,,112650
5592,20,20,,112950
5588,21,21,,113160
5591,22,22,,113330
5533,23,23,,113380
5568,24,24,,113390
5584,25,25,,113500
5559,26,26,,113580
5585,27,27,,114140
5595,28,28,,114190
5558,29,29,,114770
5534,30,30,,114890
