entrantId,positionOrder,positionText,laps,time
5562,1,1,,92682
5567,2,2,,92978
5539,3,3,,93334
5578,4,4,,94531
5577,5,5,,94654
5579,6,6,,94871
5538,7,7,,95002
5586,8,8,,95294
5540,9,9,,95346
5590,10,10,,95912
5549,11,11,,96007
5582,12,12,,96233
5580,13,13,,96511
5596,14,14,,96560
5564,15,15,,96657
5587,16,16,,96688
5597,17,17,,97637
5581,18,18,,97777
5592,19,19,,98004
5588,20,20,,98273
5584,21,21,,98522
5585,22,22,,98529
5598,23,23,,98583
5591,24,24,,98616
5595,25,25,,99374
5558,26,26,,99987
5559,27,27,,100391
5568,28,28,,101198
