sessionId,entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
1981-15-R,5577,1,1,6249077,2,,75,9,1,9,,,
1981-15-R,5567,2,2,6269127,5,,75,6,1,6,20050,,
1981-15-R,5536,3,3,6269507,8,,75,4,1,4,20430,,
1981-15-R,5587,4,4,6296547,9,,75,3,1,3,47470,,
1981-15-R,5579,5,5,6325517,4,,75,2,1,2,"01:16,44",,
1981-15-R,5538,6,6,6327257,12,,75,1,1,1,"01:18,18",,
1981-15-R,5549,7,7,6327577,6,,75,0,1,0,"01:18,50",,
1981-15-R,5578,8,8,,1,,74,0,1,0,+1 lap,,
1981-15-R,5540,9,9,,18,,73,0,1,0,+2 laps,,
1981-15-R,5600,10,10,,20,,73,0,1,0,+2 laps,,
1981-15-R,5590,11,11,,11,,71,0,1,0,+4 laps,,
1981-15-R,5564,12,12,,14,,69,0,1,0,+6 laps,,
1981-15-R,5599,13,13,,17,,67,0,1,0,,,Engine
1981-15-R,5588,14,NC,,24,,61,0,1,0,+14 laps,,
1981-15-R,5559,15,DNF,,22,,43,0,1,0,,,Gearbox
1981-15-R,5596,16,DNF,,10,,29,0,1,0,,,Suspension
1981-15-R,5580,17,DNF,,16,,20,0,1,0,,,Throttle
1981-15-R,5584,18,DNF,,23,,19,0,1,0,,,Suspension
1981-15-R,5598,19,DNF,,19,,10,0,1,0,,,Engine
1981-15-R,5562,20,DNF,,13,,10,0,1,0,,,Electrical
1981-15-R,5582,21,DNF,,7,,2,0,1,0,,,Accident
1981-15-R,5586,22,DNF,,15,,2,0,1,0,,,Water leak
1981-15-R,5603,23,DNF,,21,,0,0,1,0,,,Transmission
1981-15-R,5539,24,DSQ,,3,,22,0,1,0,,,Incorrect grid formation
