sessionId,entrantId,positionOrder,positionText,laps,time
1982-07-Q1,5618,1,1,,108537
1982-07-Q1,5644,2,2,,108872
1982-07-Q1,5656,3,3,,109264
1982-07-Q1,5628,4,4,,109903
1982-07-Q1,5657,5,5,,110066
1982-07-Q1,5645,6,6,,110252
1982-07-Q1,5640,7,7,,110294
1982-07-Q1,5639,8,8,,110443
1982-07-Q1,5649,9,9,,110520
1982-07-Q1,5638,10,10,,111026
1982-07-Q1,5668,11,11,,111039
1982-07-Q1,5655,12,12,,111227
1982-07-Q1,5650,13,13,,111270
1982-07-Q1,5637,14,14,,111508
1982-07-Q1,5619,15,15,,111514
1982-07-Q1,5607,16,16,,111618
1982-07-Q1,5611,17,17,,111868
1982-07-Q1,5662,18,18,,112271
1982-07-Q1,5660,19,19,,112316
1982-07-Q1,5652,20,20,,112867
1982-07-Q1,5663,21,21,,112870
1982-07-Q1,5631,22,22,,112988
1982-07-Q1,5632,23,23,,114084
1982-07-Q1,5630,24,24,,114332
1982-07-Q1,5658,25,25,,115633
1982-07-Q1,5622,26,26,,115848
1982-07-Q1,5664,27,27,,116589
1982-07-Q1,5605,28,28,,117779
1982-07-Q1,5667,29,29,,
