sessionId,entrantId,positionOrder,positionText,laps,time
1982-14-Q1,5618,1,1,,61380
1982-14-Q1,5619,2,2,,61740
1982-14-Q1,5638,3,3,,62984
1982-14-Q1,5606,4,4,,62997
1982-14-Q1,5644,5,5,,63023
1982-14-Q1,5605,6,6,,63366
1982-14-Q1,5656,7,7,,63589
1982-14-Q1,5645,8,8,,63776
1982-14-Q1,5671,9,9,,63896
1982-14-Q1,5611,10,10,,63995
1982-14-Q1,5607,11,11,,64069
1982-14-Q1,5666,12,12,,64087
1982-14-Q1,5655,13,13,,64238
1982-14-Q1,5678,14,14,,64928
1982-14-Q1,5639,15,15,,64967
1982-14-Q1,5665,16,16,,65162
1982-14-Q1,5676,17,17,,65179
1982-14-Q1,5668,18,18,,65422
1982-14-Q1,5657,19,19,,65451
1982-14-Q1,5652,20,20,,65877
1982-14-Q1,5653,21,21,,65927
1982-14-Q1,5654,22,22,,66017
1982-14-Q1,5658,23,23,,66297
1982-14-Q1,5640,24,24,,66430
1982-14-Q1,5674,25,25,,66590
1982-14-Q1,5675,26,26,,66632
1982-14-Q1,5663,27,27,,66781
1982-14-Q1,5677,28,28,,66990
1982-14-Q1,5630,29,29,,67836
