entrantId,positionOrder,positionText,laps,time
5606,1,1,,62710
5605,2,2,,63183
5655,3,3,,63291
5656,4,4,,63783
5607,5,5,,64102
5644,6,6,,64205
5645,7,7,,64711
5611,8,8,,64711
5666,9,9,,64897
5665,10,10,,65001
5678,11,11,,65158
5676,12,12,,65318
5652,13,13,,65391
5668,14,14,,65395
5639,15,15,,65437
5653,16,16,,65877
5675,17,17,,66011
5654,18,18,,66102
5663,19,19,,66136
5657,20,20,,66139
5658,21,21,,66168
5640,22,22,,66211
5674,23,23,,66339
5619,24,24,,67554
5618,25,25,,67902
5677,26,26,,68118
5630,27,27,,68314
5638,28,28,,
5671,29,29,,
