entrantId,positionOrder,positionText,laps,time
5618,1,1,,76356
5619,2,2,,76786
5607,3,3,,77646
5665,4,4,,77683
5606,5,5,,77772
5656,6,6,,77886
5680,7,7,,77921
5671,8,8,,77958
5611,9,9,,77986
5683,10,10,,78012
5666,11,11,,78056
5605,12,12,,78275
5638,13,13,,78333
5655,14,14,,78418
5668,15,15,,78496
5645,16,16,,78622
5678,17,17,,78734
5644,18,18,,78761
5652,19,19,,78765
5639,20,20,,79302
5640,21,21,,79439
5657,22,22,,79767
5630,23,23,,80824
5679,24,24,,81180
5643,25,25,,81215
5677,26,26,,81555
5654,27,27,,81569
5658,28,28,,81583
5674,29,29,,82387
5676,30,30,,
