sessionId,entrantId,positionOrder,positionText,laps,time
1983-11-Q1,5733,1,1,,89995
1983-11-Q1,5732,2,2,,90358
1983-11-Q1,5713,3,3,,90841
1983-11-Q1,5729,4,4,,91263
1983-11-Q1,5717,5,5,,91695
1983-11-Q1,5726,6,6,,91770
1983-11-Q1,5699,7,7,,91802
1983-11-Q1,5725,8,8,,91912
1983-11-Q1,5698,9,9,,92359
1983-11-Q1,5710,10,10,,92888
1983-11-Q1,5711,11,11,,93333
1983-11-Q1,5692,12,12,,93754
1983-11-Q1,5715,13,13,,94518
1983-11-Q1,5728,14,14,,94818
1983-11-Q1,5719,15,15,,96059
1983-11-Q1,5684,16,16,,96136
1983-11-Q1,5738,17,17,,96347
1983-11-Q1,5731,18,18,,96435
1983-11-Q1,5708,19,19,,96918
1983-11-Q1,5704,20,20,,97175
1983-11-Q1,5722,21,21,,97253
1983-11-Q1,5701,22,22,,97400
1983-11-Q1,5685,23,23,,97546
1983-11-Q1,5734,24,24,,97650
1983-11-Q1,5709,25,25,,97677
1983-11-Q1,5723,26,26,,97858
1983-11-Q1,5720,27,27,,98455
1983-11-Q1,5730,28,28,,98974
1983-11-Q1,5735,29,29,,100330
