entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
5755,1,1,5471951,9,,79,9,1,9,,,
5761,2,2,5479105,1,,79,6,1,6,7154,,
5759,3,3,5495920,6,,79,4,1,4,23969,,
5774,4,4,5515657,11,,79,3,1,3,43706,,
5758,5,5,5538076,2,,79,2,1,2,"01:06,13",,
5753,6,6,,4,,78,1,1,1,+1 lap,,
5754,7,7,,5,,78,0,1,0,+1 lap,,
5752,8,8,,12,,78,0,1,0,+1 lap,,
5749,9,9,,17,,78,0,1,0,+1 lap,,
5772,10,10,,24,,77,0,1,0,+2 laps,,
5776,11,11,,14,,77,0,1,0,+2 laps,,
5770,12,12,,23,,74,0,1,0,+5 laps,,
5775,13,13,,20,,72,0,1,0,+7 laps,,
5767,14,DNF,,22,,61,0,1,0,,,Engine
5762,15,DNF,,7,,53,0,1,0,,,Accident
5763,16,DNF,,19,,51,0,1,0,,,Accident
5769,17,DNF,,16,,51,0,1,0,,,Engine
5779,18,DNF,,13,,35,0,1,0,,,Turbo
5773,19,DNF,,10,,33,0,1,0,,,Engine
5780,20,DNF,,18,,22,0,1,0,,,Turbo
5768,21,DNF,,15,,15,0,1,0,,,Engine
5748,22,DNF,,3,,11,0,1,0,,,Turbo
5760,23,DNF,,8,,5,0,1,0,,,Clutch
5756,24,DNF,,21,,4,0,1,0,,,Electrical
