sessionId,entrantId,positionOrder,positionText,laps,time
1984-15-WU,5755,1,1,,84001
1984-15-WU,5761,2,2,,84205
1984-15-WU,5773,3,3,,84308
1984-15-WU,5754,4,4,,84712
1984-15-WU,5774,5,5,,84941
1984-15-WU,5779,6,6,,85066
1984-15-WU,5758,7,7,,85283
1984-15-WU,5759,8,8,,85695
1984-15-WU,5762,9,9,,85851
1984-15-WU,5748,10,10,,86051
1984-15-WU,5788,11,11,,86097
1984-15-WU,5749,12,12,,86121
1984-15-WU,5794,13,13,,86261
1984-15-WU,5787,14,14,,86305
1984-15-WU,5768,15,15,,86641
1984-15-WU,5776,16,16,,86836
1984-15-WU,5791,17,17,,87136
1984-15-WU,5795,18,18,,87222
1984-15-WU,5769,19,19,,87430
1984-15-WU,5777,20,20,,87907
1984-15-WU,5771,21,21,,88572
1984-15-WU,5770,22,22,,88869
1984-15-WU,5767,23,23,,89036
1984-15-WU,5789,24,24,,90509
1984-15-WU,5775,25,25,,91167
1984-15-WU,5756,26,26,,145315
