entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
5754,1,1,6071753,2,,70,9,1,9,,,
5755,2,2,6085178,11,,70,6,1,6,13425,,
5779,3,3,6091795,3,,70,4,1,4,20042,,
5773,4,4,6092070,8,,70,3,1,3,20317,,
5758,5,5,6163922,5,,70,2,1,2,"01:32,17",,
5748,6,6,,1,,69,1,1,1,+1 lap,,
5761,7,7,,7,,69,0,1,0,+1 lap,,
5768,8,8,,12,,69,0,1,0,+1 lap,,
5774,9,9,,17,,69,0,1,0,+1 lap,,
5797,10,10,,19,,69,0,1,0,+1 lap,,
5794,11,11,,10,,69,0,1,0,+1 lap,,
5795,12,12,,20,,69,0,1,0,+1 lap,,
5798,13,13,,23,,68,0,1,0,+2 laps,,
5787,14,14,,15,,67,0,1,0,+3 laps,,
5767,15,15,,25,,66,0,1,0,+4 laps,,
5789,16,16,,24,,65,0,1,0,,,Out of fuel
5769,17,17,,14,,64,0,1,0,+6 laps,,
5770,18,DNF,,22,,60,0,1,0,,,Engine
5759,19,DNF,,6,,52,0,1,0,,,Brakes
5762,20,DNF,,9,,51,0,1,0,,,Gearbox
5800,21,DNF,,13,,48,0,1,0,,,Transmission
5788,22,DNF,,4,,39,0,1,0,,,Engine
5771,23,DNF,,21,,31,0,1,0,,,Electrical
5776,24,DNF,,18,,24,0,1,0,,,Transmission
5775,25,DNF,,26,,19,0,1,0,,,Gearbox
5777,26,DNF,,16,,8,0,1,0,,,Electrical
5756,27,DNF,,27,,2,0,1,0,,,Engine
