sessionId,entrantId,positionOrder,positionText,laps,time
1985-04-WU,5803,1,1,,83737
1985-04-WU,5827,2,2,,84070
1985-04-WU,5816,3,3,,84232
1985-04-WU,5807,4,4,,84405
1985-04-WU,5815,5,5,,85040
1985-04-WU,5813,6,6,,85056
1985-04-WU,5814,7,7,,85195
1985-04-WU,5802,8,8,,85346
1985-04-WU,5818,9,9,,85361
1985-04-WU,5808,10,10,,85551
1985-04-WU,5830,11,11,,85667
1985-04-WU,5825,12,12,,86002
1985-04-WU,5823,13,13,,86266
1985-04-WU,5809,14,14,,86467
1985-04-WU,5833,15,15,,86511
1985-04-WU,5817,16,16,,87430
1985-04-WU,5826,17,17,,87665
1985-04-WU,5822,18,18,,88060
1985-04-WU,5804,19,19,,88250
1985-04-WU,5831,20,20,,89314
