entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,timePenalty,reasonRetired
5808,1,1,6939851,5,,63,9,1,9,,
5830,2,2,6997400,9,,63,6,1,6,,
5827,3,3,7003021,3,,63,4,1,4,,
5805,4,4,7006076,19,,63,3,1,3,,
5813,5,5,7026817,8,,63,2,1,2,,
5809,6,6,,10,,62,1,1,1,,
5818,7,7,,21,,62,0,1,0,,
5834,8,8,,11,,62,0,1,0,,
5823,9,9,,7,,61,0,1,0,,
5825,10,10,,17,,61,0,1,0,,
5817,11,11,,24,,60,0,1,0,,
5826,12,12,,16,,58,0,1,0,,
5814,13,DNF,,1,,51,0,1,0,,Accident
5804,14,DNF,,18,,30,0,1,0,,Collision
5812,15,DNF,,23,,27,0,1,0,,Collision
5807,16,DNF,,2,,26,0,1,0,,Accident
5803,17,DNF,,4,,19,0,1,0,,Accident
5822,18,DNF,,14,,19,0,1,0,,Electrical
5816,19,DNF,,6,,18,0,1,0,,Transmission
5815,20,DNF,,15,,15,0,1,0,,Accident
5832,21,DNF,,25,,11,0,1,0,,Engine
5802,22,DNF,,12,,10,0,1,0,,Brakes
5833,23,DNF,,13,,4,0,1,0,,Clutch
5811,24,DNF,,20,,3,0,1,0,,Turbo
5836,25,DNS,,22,,,0,1,0,,Accident
