entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,timePenalty,reasonRetired
5803,1,1,4679451,5,,51,9,1,9,,
5809,2,2,4731086,4,,51,6,1,6,,
5814,3,3,4739841,1,,51,4,1,4,,
5834,4,4,4740060,9,,51,3,1,3,,
5830,5,5,,10,,50,2,1,2,,
5813,6,6,,6,,50,1,1,1,,
5838,7,7,,8,,50,0,1,0,,
5837,8,8,,18,,50,0,1,0,,
5818,9,9,,14,,50,0,1,0,,
5850,10,10,,19,,49,0,1,0,,
5807,11,11,,3,,47,0,1,0,,Engine
5833,12,12,,15,,47,0,1,0,,
5827,13,13,,7,,45,0,1,0,,Engine
5808,14,DNF,,2,,44,0,1,0,,Engine
5826,15,DNF,,20,,40,0,1,0,,Engine
5802,16,DNF,,16,,33,0,1,0,,Transmission
5844,17,DNF,,13,,31,0,1,0,,Exhaust
5845,18,DNF,,22,,26,0,1,0,,Engine
5846,19,DNF,,26,,19,0,1,0,,Turbo
5817,20,DNF,,11,,13,0,1,0,,Engine
5839,21,DNF,,12,,9,0,1,0,,Transmission
5852,22,DNF,,25,,6,0,1,0,,Engine
5840,23,DNF,,17,,3,0,1,0,,Engine
5847,24,DNF,,24,,2,0,1,0,,Clutch
5832,25,DNS,,23,,,0,1,0,,
5848,26,DNS,,21,,,0,1,0,,
