sessionId,entrantId,positionOrder,positionText,laps,time
1985-16-WU,5814,1,1,,83854
1985-16-WU,5803,2,2,,84117
1985-16-WU,5809,3,3,,84222
1985-16-WU,5834,4,4,,84789
1985-16-WU,5808,5,5,,84918
1985-16-WU,5807,6,6,,85183
1985-16-WU,5827,7,7,,85579
1985-16-WU,5802,8,8,,85633
1985-16-WU,5840,9,9,,85803
1985-16-WU,5852,10,10,,86598
1985-16-WU,5850,11,11,,86715
1985-16-WU,5826,12,12,,86735
1985-16-WU,5844,13,13,,86793
1985-16-WU,5830,14,14,,86812
1985-16-WU,5839,15,15,,86834
1985-16-WU,5813,16,16,,87029
1985-16-WU,5848,17,17,,87103
1985-16-WU,5833,18,18,,87285
1985-16-WU,5837,19,19,,87313
1985-16-WU,5838,20,20,,87341
1985-16-WU,5817,21,21,,87485
1985-16-WU,5855,22,22,,88563
1985-16-WU,5818,23,23,,88865
1985-16-WU,5832,24,24,,89630
1985-16-WU,5845,25,25,,94288
