entrantId,positionOrder,positionText,laps,time
5863,1,1,,88922
5881,2,2,,89401
5857,3,3,,89465
5861,4,4,,89495
5874,5,5,,89770
5858,6,6,,90186
5883,7,7,,90272
5862,8,8,,90302
5879,9,9,,90422
5867,10,10,,90482
5882,11,11,,90645
5873,12,12,,90719
5887,13,13,,91458
5898,14,14,,92100
5866,15,15,,92331
5872,16,16,,92837
5886,17,17,,93101
5888,18,18,,93336
5900,19,19,,93446
5885,20,20,,93531
5890,21,21,,93877
5878,22,22,,94193
5884,23,23,,94969
5868,24,24,,95424
5895,25,25,,96248
5903,26,26,,96450
5902,27,27,,100310
