entrantId,positionOrder,positionText,laps,time
5867,1,1,,76673
5861,2,2,,77489
5857,3,3,,77710
5874,4,4,,77742
5873,5,5,,78071
5862,6,6,,78180
5858,7,7,,78360
5882,8,8,,79332
5863,9,9,,79637
5879,10,10,,79657
5898,11,11,,79769
5888,12,12,,79882
5881,13,13,,80019
5887,14,14,,80761
5866,15,15,,81594
5900,16,16,,81611
5883,17,17,,81646
5878,18,18,,81702
5885,19,19,,81835
5868,20,20,,81929
5872,21,21,,82068
5890,22,22,,82274
5886,23,23,,82388
5895,24,24,,83566
5903,25,25,,83987
5884,26,26,,84105
5893,27,27,,86861
