sessionId,entrantId,positionOrder,positionText,laps,time
1986-15-Q2,5867,1,1,,76990
1986-15-Q2,5862,2,2,,77279
1986-15-Q2,5861,3,3,,77514
1986-15-Q2,5874,4,4,,77609
1986-15-Q2,5863,5,5,,78285
1986-15-Q2,5857,6,6,,78421
1986-15-Q2,5888,7,7,,78527
1986-15-Q2,5887,8,8,,78839
1986-15-Q2,5873,9,9,,78893
1986-15-Q2,5898,10,10,,79257
1986-15-Q2,5858,11,11,,79342
1986-15-Q2,5881,12,12,,79388
1986-15-Q2,5882,13,13,,79769
1986-15-Q2,5883,14,14,,80090
1986-15-Q2,5885,15,15,,80198
1986-15-Q2,5879,16,16,,80458
1986-15-Q2,5868,17,17,,80668
1986-15-Q2,5886,18,18,,81174
1986-15-Q2,5872,19,19,,81361
1986-15-Q2,5890,20,20,,81461
1986-15-Q2,5866,21,21,,81491
1986-15-Q2,5900,22,22,,82521
1986-15-Q2,5884,23,23,,82524
1986-15-Q2,5878,24,24,,83457
1986-15-Q2,5895,25,25,,84176
1986-15-Q2,5893,26,26,,87209
