sessionId,entrantId,positionOrder,positionText,laps,time
1986-16-FP1,5861,1,1,,83440
1986-16-FP1,5862,2,2,,84097
1986-16-FP1,5879,3,3,,84344
1986-16-FP1,5867,4,4,,84839
1986-16-FP1,5858,5,5,,84978
1986-16-FP1,5881,6,6,,85141
1986-16-FP1,5874,7,7,,85217
1986-16-FP1,5857,8,8,,85973
1986-16-FP1,5873,9,9,,86012
1986-16-FP1,5885,10,10,,86310
1986-16-FP1,5886,11,11,,86363
1986-16-FP1,5888,12,12,,86845
1986-16-FP1,5898,13,13,,86900
1986-16-FP1,5883,14,14,,87290
1986-16-FP1,5866,15,15,,87366
1986-16-FP1,5882,16,16,,87389
1986-16-FP1,5900,17,17,,87650
1986-16-FP1,5887,18,18,,87670
1986-16-FP1,5868,19,19,,87752
1986-16-FP1,5872,20,20,,88467
1986-16-FP1,5884,21,21,,89373
1986-16-FP1,5863,22,22,,89496
1986-16-FP1,5890,23,23,,89729
1986-16-FP1,5878,24,24,,90075
1986-16-FP1,5893,25,25,,124346
1986-16-FP1,5895,26,26,,515061
