sessionId,entrantId,positionOrder,positionText,laps,time
1987-09-Q2,5928,1,1,,88549
1987-09-Q2,5908,2,2,,88682
1987-09-Q2,5909,3,3,,89724
1987-09-Q2,5927,4,4,,90310
1987-09-Q2,5904,5,5,,90327
1987-09-Q2,5916,6,6,,90387
1987-09-Q2,5922,7,7,,90810
1987-09-Q2,5905,8,8,,91940
1987-09-Q2,5910,9,9,,92422
1987-09-Q2,5921,10,10,,92639
1987-09-Q2,5920,11,11,,93700
1987-09-Q2,5906,12,12,,93895
1987-09-Q2,5929,13,13,,94014
1987-09-Q2,5907,14,14,,94383
1987-09-Q2,5919,15,15,,94386
1987-09-Q2,5931,16,16,,94426
1987-09-Q2,5915,17,17,,94476
1987-09-Q2,5936,18,18,,94518
1987-09-Q2,5925,19,19,,94770
1987-09-Q2,5923,20,20,,95594
1987-09-Q2,5930,21,21,,95818
1987-09-Q2,5937,22,22,,96109
1987-09-Q2,5935,23,23,,96371
1987-09-Q2,5917,24,24,,97730
1987-09-Q2,5924,25,25,,97948
1987-09-Q2,5912,26,26,,103913
