sessionId,entrantId,positionOrder,positionText,laps,time
1988-02-Q1,5954,1,1,,101278
1988-02-Q1,5955,2,2,,101597
1988-02-Q1,5970,3,3,,103394
1988-02-Q1,5946,4,4,,104806
1988-02-Q1,5961,5,5,,105090
1988-02-Q1,5950,6,6,,105616
1988-02-Q1,5951,7,7,,105673
1988-02-Q1,5969,8,8,,105982
1988-02-Q1,5971,9,9,,106062
1988-02-Q1,5972,10,10,,107215
1988-02-Q1,5948,11,11,,107265
1988-02-Q1,5947,12,12,,107399
1988-02-Q1,5956,13,13,,107465
1988-02-Q1,5958,14,14,,107518
1988-02-Q1,5973,15,15,,108146
1988-02-Q1,5978,16,16,,108156
1988-02-Q1,5960,17,17,,108399
1988-02-Q1,5952,18,18,,108463
1988-02-Q1,5975,19,19,,108466
1988-02-Q1,5968,20,20,,108633
1988-02-Q1,5965,21,21,,109012
1988-02-Q1,5967,22,22,,109054
1988-02-Q1,5959,23,23,,109081
1988-02-Q1,5966,24,24,,109211
1988-02-Q1,5957,25,25,,109306
1988-02-Q1,5953,26,26,,111498
1988-02-Q1,5974,27,27,,114566
1988-02-Q1,5949,28,28,,132385
