entrantId,positionOrder,positionText,laps,time
5955,1,1,,81681
5954,2,2,,81863
5970,3,3,,82785
5969,4,4,,83296
5961,5,5,,83968
5946,6,6,,83995
5962,7,7,,84115
5956,8,8,,84968
5964,9,9,,84988
5960,10,10,,85068
5950,11,11,,85251
5951,12,12,,85471
5975,13,13,,85713
5959,14,14,,85740
5972,15,15,,85765
5957,16,16,,85982
5948,17,17,,86092
5967,18,18,,86327
5966,19,19,,86437
5947,20,20,,86560
5952,21,21,,86784
5958,22,22,,86815
5949,23,23,,87139
5974,24,24,,87321
5968,25,25,,87637
5973,26,26,,87665
5965,27,27,,87979
5977,28,28,,87981
5971,29,29,,88012
5953,30,30,,88215
