sessionId,entrantId,positionOrder,positionText,laps,time
1988-06-FP2,5955,1,1,,100177
1988-06-FP2,5954,2,2,,100314
1988-06-FP2,5950,3,3,,100589
1988-06-FP2,5962,4,4,,100679
1988-06-FP2,5969,5,5,,101126
1988-06-FP2,5970,6,6,,101824
1988-06-FP2,5951,7,7,,102135
1988-06-FP2,5957,8,8,,102206
1988-06-FP2,5956,9,9,,102378
1988-06-FP2,5959,10,10,,102511
1988-06-FP2,5960,11,11,,102520
1988-06-FP2,5972,12,12,,102649
1988-06-FP2,5971,13,13,,102961
1988-06-FP2,5948,14,14,,103065
1988-06-FP2,5946,15,15,,103308
1988-06-FP2,5958,16,16,,103329
1988-06-FP2,5961,17,17,,103402
1988-06-FP2,5964,18,18,,103526
1988-06-FP2,5967,19,19,,103620
1988-06-FP2,5978,20,20,,103747
1988-06-FP2,5968,21,21,,103913
1988-06-FP2,5949,22,22,,104122
1988-06-FP2,5977,23,23,,104163
1988-06-FP2,5979,24,24,,104477
1988-06-FP2,5974,25,25,,104942
1988-06-FP2,5952,26,26,,105017
1988-06-FP2,5953,27,27,,105644
1988-06-FP2,5947,28,28,,105718
1988-06-FP2,5966,29,29,,105910
1988-06-FP2,5975,30,30,,111104
