entrantId,positionOrder,positionText,laps,time
5955,1,1,,101853
5954,2,2,,102177
5970,3,3,,103353
5958,4,4,,103605
5946,5,5,,103693
5947,6,6,,103693
5959,7,7,,103816
5950,8,8,,103893
5969,9,9,,103972
5962,10,10,,104499
5951,11,11,,104555
5961,12,12,,104611
5957,13,13,,105156
5964,14,14,,105558
5948,15,15,,105916
5960,16,16,,106189
5979,17,17,,106449
5956,18,18,,106486
5972,19,19,,106521
5983,20,20,,106920
5978,21,21,,106982
5966,22,22,,107134
5967,23,23,,107193
5977,24,24,,107547
5953,25,25,,107599
5949,26,26,,108589
5968,27,27,,108716
5974,28,28,,109265
5975,29,29,,110047
5952,30,30,,110550
