entrantId,positionOrder,positionText,laps,time
5954,1,1,,79676
5955,2,2,,79973
5951,3,3,,80013
5950,4,4,,80689
5970,5,5,,80711
5962,6,6,,80722
5961,7,7,,80941
5959,8,8,,81158
5946,9,9,,81316
5979,10,10,,81441
5978,11,11,,81519
5960,12,12,,81592
5958,13,13,,81730
5975,14,14,,81901
5956,15,15,,81965
5982,16,16,,82022
5957,17,17,,82455
5969,18,18,,82529
5972,19,19,,82642
5968,20,20,,82642
5952,21,21,,82649
5966,22,22,,82726
5948,23,23,,82732
5964,24,24,,82783
5947,25,25,,82840
5967,26,26,,83288
5949,27,27,,83502
5984,28,28,,83980
5974,29,29,,84634
5953,30,30,,87262
5977,31,31,,88440
