entrantId,positionOrder,positionText,laps,time
6010,1,1,,102781
5985,2,2,,102939
5986,3,3,,104558
5994,4,4,,105375
6001,5,5,,105536
5991,6,6,,106279
5996,7,7,,106483
6006,8,8,,106800
6005,9,9,,107321
6008,10,10,,107371
5990,11,11,,107486
5999,12,12,,107577
5993,13,13,,107859
6020,14,14,,107967
6007,15,15,,108091
5995,16,16,,108124
5998,17,17,,108178
5992,18,18,,108415
6028,19,19,,108795
6003,20,20,,108868
5989,21,21,,109451
6009,22,22,,109665
6013,23,23,,110947
6024,24,24,,111229
6025,25,25,,111329
5997,26,26,,112119
6004,27,27,,113681
6026,28,28,,118083
6027,29,29,,120293
6002,30,30,,125126
