sessionId,entrantId,positionOrder,positionText,laps,time
1989-04-FP1,5985,1,1,,80328
1989-04-FP1,5986,2,2,,81148
1989-04-FP1,6009,3,3,,81420
1989-04-FP1,5989,4,4,,82522
1989-04-FP1,6024,5,5,,82533
1989-04-FP1,5991,6,6,,82598
1989-04-FP1,6025,7,7,,82670
1989-04-FP1,6027,8,8,,82751
1989-04-FP1,5996,9,9,,82773
1989-04-FP1,5993,10,10,,82805
1989-04-FP1,5990,11,11,,82824
1989-04-FP1,6001,12,12,,82906
1989-04-FP1,5995,13,13,,82957
1989-04-FP1,5992,14,14,,82958
1989-04-FP1,6029,15,15,,82987
1989-04-FP1,6003,16,16,,83048
1989-04-FP1,6028,17,17,,83112
1989-04-FP1,5994,18,18,,83200
1989-04-FP1,6010,19,19,,83255
1989-04-FP1,6008,20,20,,83302
1989-04-FP1,6002,21,21,,83558
1989-04-FP1,6018,22,22,,83560
1989-04-FP1,6004,23,23,,83977
1989-04-FP1,6020,24,24,,84176
1989-04-FP1,6030,25,25,,84212
1989-04-FP1,6007,26,26,,84276
1989-04-FP1,6026,27,27,,86011
1989-04-FP1,6032,28,28,,86588
1989-04-FP1,6013,29,29,,90844
1989-04-FP1,6033,30,30,,91357
