sessionId,entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
1989-05-R,5986,1,1,7293133,2,,75,9,1,9,,,
1989-05-R,5990,2,2,7332829,14,,75,6,1,6,39696,,
1989-05-R,5994,3,3,7336343,17,,75,4,1,4,43210,,
1989-05-R,6020,4,4,,26,,74,3,1,3,+1 lap,,
1989-05-R,6002,5,5,,25,,74,2,1,2,+1 lap,,
1989-05-R,5989,6,6,,16,,74,1,1,1,+1 lap,,
1989-05-R,6028,7,7,,24,,73,0,1,0,,,Engine
1989-05-R,6004,8,8,,13,,70,0,1,0,+5 laps,,
1989-05-R,6024,9,9,,21,,69,0,1,0,,,Out of fuel
1989-05-R,6010,10,DNF,,8,,61,0,1,0,,,Alternator
1989-05-R,6003,11,DNF,,6,,52,0,1,0,,,Collision
1989-05-R,5995,12,DNF,,22,,52,0,1,0,,,Spun off
1989-05-R,6018,13,DNF,,19,,50,0,1,0,,,Suspension
1989-05-R,6033,14,DNF,,20,,46,0,1,0,,,Engine
1989-05-R,5985,15,DNF,,1,,44,0,1,0,,,Electrical
1989-05-R,5991,16,DNF,,5,,43,0,1,0,,,Brakes
1989-05-R,5992,17,DNF,,7,,37,0,1,0,,,Brakes
1989-05-R,6009,18,DNF,,4,,31,0,1,0,,,Alternator
1989-05-R,6032,19,DNF,,15,,26,0,1,0,,,Engine
1989-05-R,5996,20,DNF,,23,,24,0,1,0,,,Throttle
1989-05-R,6029,21,DNF,,11,,22,0,1,0,,,Transmission
1989-05-R,6025,22,DNF,,9,,17,0,1,0,,,Gearbox
1989-05-R,6001,23,DNF,,3,,10,0,1,0,,,Physical
1989-05-R,5993,24,DNF,,10,,7,0,1,0,,,Collision
1989-05-R,6027,25,DNF,,12,,3,0,1,0,,,Spun off
1989-05-R,6030,26,DSQ,,18,,20,0,1,0,,,Additional brake fluid
