sessionId,entrantId,positionOrder,positionText,laps,time
1989-07-WU,5986,1,1,,70400
1989-07-WU,6009,2,2,,70894
1989-07-WU,5985,3,3,,70951
1989-07-WU,6010,4,4,,71350
1989-07-WU,6029,5,5,,71747
1989-07-WU,6024,6,6,,71857
1989-07-WU,5989,7,7,,71883
1989-07-WU,6019,8,8,,71921
1989-07-WU,6038,9,9,,71966
1989-07-WU,6030,10,10,,72175
1989-07-WU,5995,11,11,,72262
1989-07-WU,6018,12,12,,72297
1989-07-WU,6027,13,13,,72405
1989-07-WU,6040,14,14,,72556
1989-07-WU,5994,15,15,,72670
1989-07-WU,6008,16,16,,72830
1989-07-WU,6036,17,17,,72862
1989-07-WU,6007,18,18,,72866
1989-07-WU,6032,19,19,,72895
1989-07-WU,5996,20,20,,73090
1989-07-WU,6039,21,21,,73117
1989-07-WU,6037,22,22,,73330
1989-07-WU,6028,23,23,,73701
1989-07-WU,6003,24,24,,73986
1989-07-WU,5992,25,25,,74131
1989-07-WU,5990,26,26,,392292
