sessionId,entrantId,positionOrder,positionText,laps,time
1989-09-Q1,5985,1,1,,102300
1989-09-Q1,5986,2,2,,103306
1989-09-Q1,6009,3,3,,104020
1989-09-Q1,6010,4,4,,104467
1989-09-Q1,6038,5,5,,105033
1989-09-Q1,5990,6,6,,105062
1989-09-Q1,5989,7,7,,105520
1989-09-Q1,6043,8,8,,106521
1989-09-Q1,5991,9,9,,107216
1989-09-Q1,5995,10,10,,107316
1989-09-Q1,6030,11,11,,107387
1989-09-Q1,6008,12,12,,107408
1989-09-Q1,6027,13,13,,107486
1989-09-Q1,5992,14,14,,107511
1989-09-Q1,6036,15,15,,107551
1989-09-Q1,5993,16,16,,107756
1989-09-Q1,6024,17,17,,107836
1989-09-Q1,6004,18,18,,107879
1989-09-Q1,6032,19,19,,108222
1989-09-Q1,6029,20,20,,108239
1989-09-Q1,6007,21,21,,108266
1989-09-Q1,5994,22,22,,108396
1989-09-Q1,6044,23,23,,108670
1989-09-Q1,6003,24,24,,108671
1989-09-Q1,5996,25,25,,108782
1989-09-Q1,6019,26,26,,109252
1989-09-Q1,6033,27,27,,109587
1989-09-Q1,6018,28,28,,109935
1989-09-Q1,6021,29,29,,110673
1989-09-Q1,6020,30,30,,110679
