sessionId,entrantId,positionOrder,positionText,laps,time
1989-14-Q2,5985,1,1,,80291
1989-14-Q2,6010,2,2,,80565
1989-14-Q2,5986,3,3,,81368
1989-14-Q2,6032,4,4,,81479
1989-14-Q2,6027,5,5,,81708
1989-14-Q2,5990,6,6,,81777
1989-14-Q2,5995,7,7,,81922
1989-14-Q2,5991,8,8,,82133
1989-14-Q2,6036,9,9,,82363
1989-14-Q2,6043,10,10,,82567
1989-14-Q2,5999,11,11,,82620
1989-14-Q2,5992,12,12,,82826
1989-14-Q2,6024,13,13,,83052
1989-14-Q2,6038,14,14,,83105
1989-14-Q2,6004,15,15,,83186
1989-14-Q2,5993,16,16,,83222
1989-14-Q2,6053,17,17,,83243
1989-14-Q2,5996,18,18,,83309
1989-14-Q2,6033,19,19,,83443
1989-14-Q2,6051,20,20,,83657
1989-14-Q2,5994,21,21,,83729
1989-14-Q2,6003,22,22,,83763
1989-14-Q2,6008,23,23,,83931
1989-14-Q2,6000,24,24,,84003
1989-14-Q2,6007,25,25,,85190
1989-14-Q2,6048,26,26,,85443
