entrantId,positionOrder,positionText,laps,time
6083,1,1,,82972
6094,2,2,,83141
6084,3,3,,83239
6111,4,4,,83497
6062,5,5,,84042
6096,6,6,,84159
6063,7,7,,84253
6103,8,8,,84699
6102,9,9,,85567
6068,10,10,,85728
6106,11,11,,85927
6069,12,12,,86110
6071,13,13,,86170
6113,14,14,,86330
6095,15,15,,86449
6072,16,16,,86712
6098,17,17,,86950
6107,18,18,,87074
6082,19,19,,87153
6099,20,20,,87541
6078,21,21,,87772
6066,22,22,,87784
6104,23,23,,87790
6093,24,24,,87828
6100,25,25,,88107
6105,26,26,,88258
6097,27,27,,88382
6101,28,28,,88564
6081,29,29,,88626
6116,30,30,,88952
