sessionId,entrantId,positionOrder,positionText,laps,time
1990-12-WU,6111,1,1,,87320
1990-12-WU,6083,2,2,,87396
1990-12-WU,6102,3,3,,88225
1990-12-WU,6062,4,4,,88361
1990-12-WU,6084,5,5,,88458
1990-12-WU,6103,6,6,,88727
1990-12-WU,6094,7,7,,88896
1990-12-WU,6096,8,8,,89137
1990-12-WU,6069,9,9,,89503
1990-12-WU,6071,10,10,,89616
1990-12-WU,6068,11,11,,89780
1990-12-WU,6063,12,12,,89892
1990-12-WU,6095,13,13,,90521
1990-12-WU,6107,14,14,,90551
1990-12-WU,6072,15,15,,90663
1990-12-WU,6101,16,16,,90683
1990-12-WU,6113,17,17,,90735
1990-12-WU,6066,18,18,,90752
1990-12-WU,6098,19,19,,91116
1990-12-WU,6082,20,20,,91368
1990-12-WU,6081,21,21,,91387
1990-12-WU,6099,22,22,,91395
1990-12-WU,6104,23,23,,91526
1990-12-WU,6078,24,24,,92024
1990-12-WU,6093,25,25,,92178
1990-12-WU,6106,26,26,,92513
