entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
6122,1,1,7247828,1,,81,10,1,10,,,
6147,2,2,7264150,2,,81,6,1,6,16322,,
6140,3,3,7265204,5,,81,4,1,4,17376,,
6125,4,4,7273237,11,,81,3,1,3,25409,,
6124,5,5,,16,,80,2,1,2,+1 lap,,
6150,6,6,,21,,79,1,1,1,+2 laps,,
6154,7,7,,17,,78,0,1,0,+3 laps,,
6137,8,8,,22,,77,0,1,0,+4 laps,,
6143,9,9,,15,,75,0,1,0,,,Engine
6152,10,10,,14,,75,0,1,0,,,Engine
6128,11,11,,12,,73,0,1,0,+8 laps,,
6148,12,12,,6,,72,0,1,0,,,Gearbox
6132,13,DNF,,13,,59,0,1,0,,,Engine
6127,14,DNF,,3,,49,0,1,0,,,Gearbox
6139,15,DNF,,8,,49,0,1,0,,,Collision
6130,16,DNF,,25,,41,0,1,0,,,Engine
6136,17,DNF,,18,,40,0,1,0,,,Gearbox
6145,18,DNF,,20,,40,0,1,0,,,Engine
6123,19,DNF,,7,,36,0,1,0,,,Fuel pump
6126,20,DNF,,4,,35,0,1,0,,,Gearbox
6135,21,DNF,,23,,34,0,1,0,,,Gearbox
6129,22,DNF,,24,,32,0,1,0,,,Spun off
6141,23,DNF,,9,,16,0,1,0,,,Gearbox
6144,24,DNF,,26,,15,0,1,0,,,Gearbox
6142,25,DNF,,10,,12,0,1,0,,,Gearbox
6149,26,DNF,,19,,4,0,1,0,,,Engine
