sessionId,entrantId,positionOrder,positionText,laps,time
1991-01-WU,6122,1,1,,87747
1991-01-WU,6126,2,2,,88104
1991-01-WU,6127,3,3,,88351
1991-01-WU,6125,4,4,,88570
1991-01-WU,6123,5,5,,88781
1991-01-WU,6139,6,6,,89062
1991-01-WU,6147,7,7,,89332
1991-01-WU,6148,8,8,,89361
1991-01-WU,6140,9,9,,89873
1991-01-WU,6128,10,10,,90383
1991-01-WU,6141,11,11,,90412
1991-01-WU,6152,12,12,,90417
1991-01-WU,6150,13,13,,90504
1991-01-WU,6145,14,14,,90852
1991-01-WU,6124,15,15,,91009
1991-01-WU,6135,16,16,,91391
1991-01-WU,6149,17,17,,91724
1991-01-WU,6129,18,18,,92163
1991-01-WU,6130,19,19,,92237
1991-01-WU,6132,20,20,,92378
1991-01-WU,6142,21,21,,92541
1991-01-WU,6137,22,22,,92595
1991-01-WU,6136,23,23,,93573
1991-01-WU,6154,24,24,,94638
1991-01-WU,6144,25,25,,95475
