entrantId,positionOrder,positionText,laps,time
6122,1,1,,81856
6127,2,2,,81965
6123,3,3,,82176
6125,4,4,,82719
6161,5,5,,82790
6126,6,6,,83197
6162,7,7,,83230
6147,8,8,,83256
6141,9,9,,83259
6148,10,10,,83284
6142,11,11,,83390
6124,12,12,,83517
6143,13,13,,83846
6137,14,14,,84129
6157,15,15,,84435
6135,16,16,,84448
6149,17,17,,84647
6153,18,18,,84916
6146,19,19,,85334
6150,20,20,,85340
6163,21,21,,85451
6145,22,22,,85644
6152,23,23,,85705
6136,24,24,,86536
6133,25,25,,86576
6144,26,26,,86695
6132,27,27,,87333
6160,28,28,,88045
6158,29,29,,88403
