entrantId,positionOrder,positionText,laps,time
6126,1,1,,76832
6125,2,2,,78836
6123,3,3,,78940
6122,4,4,,79468
6124,5,5,,80109
6149,6,6,,80336
6152,7,7,,80345
6159,8,8,,80663
6153,9,9,,80773
6150,10,10,,80985
6165,11,11,,81001
6132,12,12,,81134
6156,13,13,,81199
6146,14,14,,81236
6144,15,15,,81333
6147,16,16,,81334
6143,17,17,,81570
6142,18,18,,81693
6157,19,19,,81694
6135,20,20,,82040
6161,21,21,,82064
6136,22,22,,82472
6137,23,23,,82714
6127,24,24,,82835
6148,25,25,,82965
6160,26,26,,83041
6163,27,27,,83369
6164,28,28,,83434
6162,29,29,,84159
6145,30,30,,84250
