entrantId,positionOrder,positionText,laps,time
6127,1,1,,76696
6126,2,2,,76978
6122,3,3,,77264
6148,4,4,,78129
6123,5,5,,78156
6162,6,6,,78168
6147,7,7,,78183
6159,8,8,,78453
6161,9,9,,78589
6125,10,10,,78911
6157,11,11,,79064
6143,12,12,,79215
6142,13,13,,79291
6124,14,14,,79971
6152,15,15,,80050
6153,16,16,,80053
6135,17,17,,80200
6136,18,18,,80252
6156,19,19,,80378
6149,20,20,,80442
6132,21,21,,80823
6165,22,22,,80830
6145,23,23,,80978
6144,24,24,,81257
6163,25,25,,81429
6146,26,26,,81737
6150,27,27,,81737
6137,28,28,,82258
6160,29,29,,82899
6164,30,30,,82938
