entrantId,positionOrder,positionText,laps,time
6122,1,1,,76557
6126,2,2,,77095
6171,3,3,,77303
6170,4,4,,77386
6127,5,5,,77472
6123,6,6,,78087
6168,7,7,,79187
6143,8,8,,79426
6125,9,9,,79530
6136,10,10,,79555
6161,11,11,,79711
6135,12,12,,79728
6153,13,13,,80097
6152,14,14,,80374
6169,15,15,,80427
6162,16,16,,80449
6144,17,17,,80635
6159,18,18,,80640
6156,19,19,,80999
6124,20,20,,81020
6165,21,21,,81230
6142,22,22,,81323
6149,23,23,,81613
6166,24,24,,81966
6150,25,25,,82058
6132,26,26,,82274
6157,27,27,,82277
6160,28,28,,82319
6137,29,29,,82737
6167,30,30,,84114
